Date,Buy Price,Sell Price
2024-06-21,74980000,76980000
2024-06-22,74980000,76980000
2024-06-23,74980000,76980000
2024-06-24,74980000,76980000
2024-06-25,74980000,76980000
2024-06-26,74980000,76980000
2024-06-27,74980000,76980000
2024-06-28,74980000,76980000
2024-06-29,74980000,76980000
2024-06-30,74980000,76980000
2024-07-01,74980000,76980000
2024-07-02,74980000,76980000
2024-07-03,74980000,76980000
2024-07-04,74980000,76980000
2024-07-05,74980000,76980000
2024-07-06,74980000,76980000
2024-07-07,74980000,76980000
2024-07-08,74980000,76980000
2024-07-09,74980000,76980000
2024-07-10,74980000,76980000
2024-07-11,74980000,76980000
2024-07-12,74980000,76980000
2024-07-13,74980000,76980000
2024-07-14,74980000,76980000
2024-07-15,74980000,76980000
2024-07-16,75500000,76980000
2024-07-17,76000000,76980000
2024-07-18,78500000,80000000
2024-07-19,78500000,80000000
2024-07-20,78500000,80000000
2024-07-21,78500000,80000000
2024-07-22,78000000,80000000
2024-07-23,77500000,79500000
2024-07-24,77500000,79500000
2024-07-25,77500000,79500000
2024-07-26,77500000,79500000
2024-07-27,77500000,79500000
2024-07-28,77500000,79500000
2024-07-29,77500000,79500000
2024-07-30,77000000,79000000
2024-07-31,77000000,79000000
2024-08-01,77800000,79800000
2024-08-02,78300000,79800000
2024-08-03,78300000,79800000
2024-08-04,78300000,79800000
2024-08-05,78300000,79800000
2024-08-06,77000000,79000000
2024-08-07,77000000,79000000
2024-08-08,76500000,78500000
2024-08-09,76500000,78500000
2024-08-10,76500000,78500000
2024-08-11,76500000,78500000
2024-08-12,76500000,78500000
2024-08-13,78000000,80000000
2024-08-14,78000000,80000000
2024-08-15,78000000,80000000
2024-08-16,78000000,80000000
2024-08-17,78000000,80000000
2024-08-18,78000000,80000000
2024-08-19,78000000,80000000
2024-08-20,79000000,81000000
2024-08-21,79000000,81000000
2024-08-22,79000000,81000000
2024-08-23,79000000,81000000
2024-08-24,79000000,81000000
2024-08-25,79000000,81000000
2024-08-26,79000000,81000000
2024-08-27,79000000,81000000
2024-08-28,79000000,81000000
2024-08-29,79000000,81000000
2024-08-30,79000000,81000000
2024-08-31,79000000,81000000
2024-09-01,79000000,81000000
2024-09-02,79000000,81000000
2024-09-03,79000000,81000000
2024-09-04,79000000,81000000
2024-09-05,78500000,80500000
2024-09-06,78500000,80500000
2024-09-07,78500000,80500000
2024-09-08,78500000,80500000
2024-09-09,78500000,80500000
2024-09-10,78500000,80500000
2024-09-11,78500000,80500000
2024-09-12,78500000,80500000
2024-09-13,78500000,80500000
2024-09-14,78500000,80500000
2024-09-15,78500000,80500000
2024-09-16,78500000,80500000
2024-09-17,80000000,82000000
2024-09-18,80000000,82000000
2024-09-19,79800000,81800000
2024-09-20,80000000,82000000
2024-09-21,80000000,82000000
2024-09-22,80000000,82000000
2024-09-23,80000000,82000000
2024-09-24,81500000,83500000
2024-09-25,81500000,83500000
2024-09-26,81500000,83500000
2024-09-27,81500000,83500000
2024-09-28,81500000,83500000
2024-09-29,81500000,83500000
2024-09-30,81500000,83500000
2024-10-01,82000000,84000000
2024-10-02,82000000,84000000
2024-10-03,82000000,84000000
2024-10-04,82000000,84000000
2024-10-05,82000000,84000000
2024-10-06,82000000,84000000
2024-10-07,82000000,84000000
2024-10-08,83000000,85000000
2024-10-09,83000000,85000000
2024-10-10,82500000,84500000
2024-10-11,82500000,84500000
2024-10-12,82500000,84500000
2024-10-13,82500000,84500000
2024-10-14,83000000,85000000
2024-10-15,83000000,85000000
2024-10-16,84000000,86000000
2024-10-17,84000000,86000000
2024-10-18,84000000,86000000
2024-10-19,84000000,86000000
2024-10-20,84000000,86000000
2024-10-21,86000000,88000000
2024-10-22,87000000,89000000
2024-10-23,87000000,89000000
2024-10-24,87000000,89000000
2024-10-25,87000000,89000000
2024-10-26,87000000,89000000
2024-10-27,87000000,89000000
2024-10-28,87000000,89000000
2024-10-29,87000000,89000000
2024-10-30,88000000,90000000
2024-10-31,88000000,90000000
2024-11-01,87500000,89500000
2024-11-02,87500000,89500000
2024-11-03,87500000,89500000
2024-11-04,87000000,89000000
2024-11-05,87000000,89000000
2024-11-06,87000000,89000000
2024-11-07,81000000,85500000
2024-11-08,82000000,86000000
2024-11-09,82000000,85800000
2024-11-10,82000000,85800000
2024-11-11,81900000,85400000
2024-11-12,80500000,84000000
2024-11-13,80500000,84000000
2024-11-14,80000000,83500000
2024-11-15,80000000,83500000
2024-11-16,80000000,83500000
2024-11-17,80000000,83500000
2024-11-18,81000000,84000000
2024-11-19,82000000,85000000
2024-11-20,82700000,85700000
2024-11-21,83700000,86200000
2024-11-22,85000000,87000000
2024-11-23,85000000,87000000
2024-11-24,85000000,87000000
2024-11-25,84600000,86600000
2024-11-26,82700000,85200000
2024-11-27,83000000,85500000
2024-11-28,82900000,85400000
2024-11-29,83300000,85800000
2024-11-30,83300000,85800000
2024-12-01,83300000,85800000
2024-12-02,82800000,85300000
2024-12-03,83000000,85500000
2024-12-04,83000000,85500000
2024-12-05,83000000,85500000
2024-12-06,82700000,85200000
2024-12-07,82700000,85200000
2024-12-08,82700000,85200000
2024-12-09,82700000,85200000
2024-12-10,83100000,85600000
2024-12-11,84400000,86900000
2024-12-12,84800000,87300000
2024-12-13,83900000,86400000
2024-12-14,83800000,86300000
2024-12-15,83800000,86300000
2024-12-16,82600000,85100000
2024-12-17,82600000,85100000
2024-12-18,82600000,85100000
2024-12-19,82100000,84100000
2024-12-20,81800000,83800000
2024-12-21,82400000,84400000
2024-12-22,82400000,84400000
2024-12-23,82500000,84500000
2024-12-24,82300000,84300000
2024-12-25,82300000,84300000
2024-12-26,82500000,84500000
2024-12-27,82700000,84700000
2024-12-28,82700000,84700000
2024-12-29,82700000,84700000
2024-12-30,82500000,84500000
2024-12-31,82200000,84200000
2025-01-01,82200000,84200000
2025-01-02,83500000,85000000
2025-01-03,84000000,85500000
2025-01-04,84000000,85500000
2025-01-05,84000000,85500000
2025-01-06,83500000,85000000
2025-01-07,83800000,85300000
2025-01-08,84000000,85500000
2025-01-09,84500000,86000000
2025-01-10,84700000,86200000
2025-01-11,84800000,86800000
2025-01-12,84800000,86800000
2025-01-13,84800000,86800000
2025-01-14,84400000,86400000
2025-01-15,84600000,86600000
2025-01-16,85000000,87000000
2025-01-17,85300000,87300000
2025-01-18,84900000,86900000
2025-01-19,84900000,86900000
2025-01-20,84900000,86900000
2025-01-21,85500000,87500000
2025-01-22,86200000,88200000
2025-01-23,86100000,88100000
2025-01-24,86900000,88900000
2025-01-25,86900000,88900000
2025-01-26,86900000,88900000
2025-01-27,86900000,88900000
2025-01-28,86900000,88900000
2025-01-29,86900000,88900000
2025-01-30,86900000,88900000
2025-01-31,86900000,88900000
2025-02-01,86900000,88900000
2025-02-02,86900000,88900000
2025-02-03,87800000,89800000
2025-02-04,87600000,90100000
2025-02-05,88000000,91000000
2025-02-06,86400000,89600000
2025-02-07,86800000,90300000
2025-02-08,86800000,90300000
2025-02-09,86800000,90300000
2025-02-10,88300000,91300000
2025-02-11,88000000,90500000
2025-02-12,86700000,90200000
2025-02-13,87700000,90700000
2025-02-14,88300000,91300000
2025-02-15,87300000,90300000
2025-02-16,87300000,90300000
2025-02-17,87600000,90600000
2025-02-18,88600000,91100000
2025-02-19,89600000,91900000
2025-02-20,90000000,92300000
2025-02-21,89400000,91700000
2025-02-22,89400000,91700000
2025-02-23,89400000,91700000
2025-02-24,89700000,92000000
2025-02-25,89700000,92000000
2025-02-26,89000000,91300000
2025-02-27,88900000,91200000
2025-02-28,88500000,90500000
2025-03-01,88500000,90500000
2025-03-02,88500000,90500000
2025-03-03,89000000,91000000
2025-03-04,90100000,92100000
2025-03-05,90700000,92700000
2025-03-06,90700000,92700000
2025-03-07,91100000,93100000
2025-03-08,90900000,92900000
2025-03-09,90900000,92900000
2025-03-10,90900000,92900000
2025-03-11,91000000,93000000
2025-03-12,91800000,93500000
2025-03-13,92900000,94400000
2025-03-14,94300000,95800000
2025-03-15,94300000,95800000
2025-03-16,94300000,95800000
2025-03-17,94800000,96100000
2025-03-18,96700000,98200000
2025-03-19,98000000,99500000
2025-03-20,97800000,99800000
2025-03-21,94700000,97700000
2025-03-22,94400000,97400000
2025-03-23,94400000,97400000
2025-03-24,95100000,97600000
2025-03-25,95900000,97900000
2025-03-26,96700000,98400000
2025-03-27,97400000,98900000
2025-03-28,98200000,100200000
2025-03-29,98400000,100700000
2025-03-30,98400000,100700000
2025-03-31,99500000,101800000
2025-04-01,99400000,102100000
2025-04-02,99100000,101800000
2025-04-03,99500000,102200000
2025-04-04,98800000,101300000
2025-04-05,97100000,100100000
2025-04-06,97100000,100100000
2025-04-07,97100000,100100000
2025-04-08,97700000,100200000
2025-04-09,99700000,101900000
2025-04-10,100600000,103600000
2025-04-11,102200000,105200000
2025-04-12,103000000,106500000
2025-04-13,103000000,106500000
2025-04-14,105000000,107500000
2025-04-15,105500000,108000000
2025-04-16,113000000,115500000
2025-04-17,115500000,118000000
2025-04-18,117000000,120000000
2025-04-19,112000000,114000000
2025-04-20,112000000,114000000
2025-04-21,116000000,118000000
2025-04-22,122000000,124000000
2025-04-23,116500000,119500000
2025-04-24,118500000,121000000
2025-04-25,118500000,120500000
2025-04-26,119000000,121000000
2025-04-27,119000000,121000000
2025-04-28,117500000,119500000
2025-04-29,119300000,121300000
2025-04-30,119300000,121300000
2025-05-01,119300000,121300000
2025-05-02,119300000,121300000
2025-05-03,119300000,121300000
2025-05-04,119300000,121300000
2025-05-05,117800000,119800000
2025-05-06,120200000,122200000
2025-05-07,120200000,122200000
2025-05-08,118500000,120500000
2025-05-09,119500000,121500000
2025-05-10,120000000,122000000
2025-05-11,120000000,122000000
